slot_id,page_path,anchor_text,anchor_selector,anchor_index,insertion_mode,slot_key,priority_level,risk_score,prompt_hash
459c72fec1184e770c59ccec,app/about/page.tsx,About Utility Explained,jsx:h1,0,HERO,hero,5,0.0,e8f3c35bd4476184748d2a0a5d4ceeccc7ce529f60175502136652ab42aefa2b
e1d1588004c984b540b8c22c,app/blog/[slug]/page.tsx,Frequently asked questions,jsx:h1,0,HERO,hero,5,0.0,c3add328d3177ad24d901f134b77231f3e7c47f33dab00e98c6b3a4393ad95df
d19f0b785b47a1f73c3e6461,app/blog/page.tsx,Utility explainers and adulting guides,jsx:h1,0,HERO,hero,5,0.2,0b179bdb120544101474c3e5190f92e376ebf4e2d6d8afcb3f03b9ecc446b093
5ace06f076805659dc8872b7,app/blog/page/[page]/page.tsx,Blog,jsx:h1,0,HERO,hero,5,0.0,3d16ce476f6ffdb3e1d8ce0e9ed83ae1180f3cd2231e4af86f945d72cb0c5f89
6e7d1ded6f71f4ad2faff3f0,app/contact/page.tsx,Contact,jsx:h1,0,HERO,hero,5,0.0,d19fe8dd0c5e0a1f979502978362539d279582d1ececc897abfc6cd43b35cfd3
929597bfc8926e58a2b97cef,app/disclaimer/page.tsx,Disclaimer,jsx:h1,0,HERO,hero,5,0.0,661397773dbdbdfab7ce5ddecc8aa68ed3cfba419eb439910dbd6938389bbb97
c4b7cdc06ad74fbf2d969102,app/electricity-explained/page.tsx,Electricity Explained: Your Complete Guide,jsx:h1,0,HERO,hero,5,0.0,6a1bc5be4eedafdb551ab8919013b3d55143483ab1448b33eda7aa9f10daee95
fcd5226f3e6c4dd2354777a1,app/electricity-explained/page.tsx,What is electricity and how does it reach your home?,jsx:h2,1,INLINE,what-is-electricity-and-how-does-it-reach-your-home,3,0.0,3be89d00113f7ff419b248b803e63a00279e65d9b14c08b5321395d34ba35eac
ef20062e7ba8ea9e869357b2,app/electricity-explained/page.tsx,"How electricity is measured: watts, kilowatts, and kilowatt-hours",jsx:h2,2,INLINE,how-electricity-is-measured-watts-kilowatts-and-kilowatt-hours,3,0.0,936d70550d9bd23eba4bc6c6f32db84948b87fe2bd8bb73ef541d52bacc0866d
28ec758d5f555ff5430adbc4,app/electricity-explained/page.tsx,Understanding your electric bill,jsx:h2,3,INLINE,understanding-your-electric-bill,3,0.0,3543dc3b5529fd0cec62288472ce1586af0f6b8198109898b565383308ca8e03
796b5267e17f6e655e871b95,app/electricity-explained/page.tsx,Energy charge (supply charge),jsx:h2,4,INLINE,energy-charge-supply-charge,3,0.0,f61251a415d7faae52c5de87eb03049cbed346592d57203fb3857566f6616e7c
01a8e8e113c3baa2c365dea7,app/electricity-explained/page.tsx,Delivery charge (distribution charge),jsx:h2,5,INLINE,delivery-charge-distribution-charge,3,0.0,cdf68d8ba6d642c00564a1a0f01b6d71a9705b3abf880c3f0da8aff48e052723
7b628291d6766baad6cdb446,app/electricity-explained/page.tsx,Fixed fees and other charges,jsx:h2,6,INLINE,fixed-fees-and-other-charges,3,0.0,33b06636bf7a7ecd911cc2da48cb613d22c6ad747675a2de7ab9ec36b3117a1f
4b3dbc8b048eb6e59ae062b9,app/gas-explained/page.tsx,Natural Gas Explained: Your Complete Guide,jsx:h1,0,HERO,hero,5,0.0,196802f2dc00af3cb89b5c9d02beea2ba540e7dbaa5dba3ac333160c553a7ce2
249dadbf0a0f03420fc66fb1,app/gas-explained/page.tsx,What is natural gas and how does it reach your home?,jsx:h2,1,INLINE,what-is-natural-gas-and-how-does-it-reach-your-home,3,0.0,1448dba9d5203fcf46b442ffac814e6054aced63b9694da3d2929a3cf3e7b486
05fb06fde2e24b9fc3d1604f,app/gas-explained/page.tsx,"How natural gas is measured: therms, BTUs, and CCF",jsx:h2,2,INLINE,how-natural-gas-is-measured-therms-btus-and-ccf,3,0.0,167ee25592153981ef912402fa6e2b89864d3890fa18dc4638c034f5f10b242c
ea08f4218ef3c264d0e75f26,app/gas-explained/page.tsx,Understanding your gas bill,jsx:h2,3,INLINE,understanding-your-gas-bill,3,0.0,8ab93566fa5f3613396755a4b59495a15ddbc7cfde59dbe41ae19eb113e268ee
5e71d9e58a13b37f73213657,app/heating-cooling-explained/page.tsx,Heating & Cooling Explained: Your Complete Guide,jsx:h1,0,HERO,hero,5,0.0,bc3a2309f00440f414dce511b5a1f909534532e98c28aaf6f30173211e044f3f
032cabbf4b2b96728e920091,app/heating-cooling-explained/page.tsx,How heating and cooling systems work,jsx:h2,1,INLINE,how-heating-and-cooling-systems-work,3,0.0,81ee7cf70e77050894f1ba26e4690cae74ca3ebe2023e29008163c0be66d1031
c78f19815dc65494d1d045d5,app/heating-cooling-explained/page.tsx,Common heating system types,jsx:h2,2,INLINE,common-heating-system-types,3,0.0,4ee06ae46c2e137626a159b4aed2c6ab04b56bab27d5d96a911ae9f20ada7014
